spname,status,school_id,local_province_id,max,min,average,level1,level1_name,level2,level2_name,level3,level3_name,proscore,local_type_id,local_type_name,local_batch_id,local_batch_name,local_province_name,province_id,city_id,name,elective,year,dual_class_name,f211,f985,central,school_type,admissions,department,type,is_recruitment,code_enroll,county_id
理科试验班类,1,31,33,--,699,--,1,本科,0,--,0,--,577,3,综合,16,平行录取一段,浙江,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
法语,2,31,11,--,661,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
印地语,2,31,11,--,659,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
菲律宾语,2,31,11,--,658,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
乌尔都语,2,31,11,--,659,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
俄语,2,31,11,--,660,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
朝鲜语,2,31,11,--,659,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
阿拉伯语,2,31,11,--,660,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
西班牙语,2,31,11,--,662,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
日语,2,31,11,--,662,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
德语,2,31,11,--,662,--,1,本科,7,文学,48,外国语言文学类,--,2,文科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
法语,2,31,11,--,670,--,1,本科,7,文学,48,外国语言文学类,--,1,理科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
朝鲜语,2,31,11,--,667,--,1,本科,7,文学,48,外国语言文学类,--,1,理科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
阿拉伯语,2,31,11,--,667,--,1,本科,7,文学,48,外国语言文学类,--,1,理科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
西班牙语,2,31,11,--,668,--,1,本科,7,文学,48,外国语言文学类,--,1,理科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
日语,2,31,11,--,669,--,1,本科,7,文学,48,外国语言文学类,--,1,理科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
德语,2,31,11,--,670,--,1,本科,7,文学,48,外国语言文学类,--,1,理科,6,本科提前批,北京,11,1101,北京大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000100,110108
临床医学（八年制）,1,1217,33,--,687,--,1,本科,12,医学,102,临床医学类,577,3,综合,16,平行录取一段,浙江,11,0,北京大学医学部,"70000,70001",2017,双一流,1,1,2,6000,2,2,5003,2,1000101,0
口腔医学（八年制）,1,1217,33,--,687,--,1,本科,12,医学,103,口腔医学类,577,3,综合,16,平行录取一段,浙江,11,0,北京大学医学部,"70000,70001",2017,双一流,1,1,2,6000,2,2,5003,2,1000101,0
预防医学（七年制）,1,1217,33,--,683,--,1,本科,12,医学,104,公共卫生与预防医学类,577,3,综合,16,平行录取一段,浙江,11,0,北京大学医学部,"70000,70001",2017,双一流,1,1,2,6000,2,2,5003,2,1000101,0
临床医学,1,1217,33,--,685,--,1,本科,12,医学,102,临床医学类,577,3,综合,16,平行录取一段,浙江,11,0,北京大学医学部,"70000,70001",2017,双一流,1,1,2,6000,2,2,5003,2,1000101,0
药学（六年制）,1,1217,33,--,682,--,1,本科,12,医学,107,药学类,577,3,综合,16,平行录取一段,浙江,11,0,北京大学医学部,"70000,70001",2017,双一流,1,1,2,6000,2,2,5003,2,1000101,0
基础医学（八年制）,1,1217,33,--,686,--,1,本科,12,医学,101,基础医学类,577,3,综合,16,平行录取一段,浙江,11,0,北京大学医学部,"70000,70001",2017,双一流,1,1,2,6000,2,2,5003,2,1000101,0
法学,1,46,11,659,656,658,1,本科,5,法学,39,法学类,555,2,文科,7,本科一批,北京,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学（中外合作办学）,1,46,50,617,609,--,1,本科,4,经济学,37,金融学类,525,2,文科,7,本科一批,重庆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（信息与数学，国家专项）,1,46,61,652,652,--,1,本科,0,--,0,--,449,1,理科,7,本科一批,陕西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法语,1,46,37,635,635,--,1,本科,7,文学,48,外国语言文学类,483,2,文科,14,本科批,山东,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
新闻传播学类,1,46,15,661,661,--,1,本科,7,文学,49,新闻传播学类,466,1,理科,7,本科一批,内蒙古,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
工商管理类,1,46,21,633,627,629,1,本科,13,管理学,113,工商管理类,532,2,文科,7,本科一批,辽宁,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法语,1,46,51,636,635,--,1,本科,7,文学,48,外国语言文学类,537,2,文科,7,本科一批,四川,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人力资源管理,1,46,32,398,398,--,1,本科,13,管理学,113,工商管理类,331,1,理科,7,本科一批,江苏,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学类（国家专项）,1,46,45,602,602,--,1,本科,4,经济学,37,金融学类,535,2,文科,7,本科一批,广西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人文科学试验班（国家专项）,1,46,23,595,595,--,1,本科,0,--,0,--,481,2,文科,7,本科一批,黑龙江,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法学,1,46,42,674,659,665,1,本科,5,法学,39,法学类,484,1,理科,7,本科一批,湖北,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
经济学类,1,46,37,643,641,--,1,本科,4,经济学,35,经济学类,483,2,文科,14,本科批,山东,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
农业经济管理类,1,46,45,627,624,626,1,本科,13,管理学,114,农业经济管理类,535,2,文科,7,本科一批,广西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
工商管理类（国家专项）,1,46,53,628,628,--,1,本科,13,管理学,113,工商管理类,500,1,理科,7,本科一批,云南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（信息与数学，国家专项）,1,46,42,650,650,--,1,本科,0,--,0,--,484,1,理科,7,本科一批,湖北,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人文科学试验班（民考汉）,1,46,65,637,601,--,1,本科,0,--,0,--,486,2,文科,7,本科一批,新疆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学类,1,46,53,682,680,681,1,本科,4,经济学,37,金融学类,500,1,理科,7,本科一批,云南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学（中外合作办学）,1,46,43,624,607,--,1,本科,4,经济学,37,金融学类,505,1,理科,7,本科一批,湖南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法学,1,46,32,409,402,405,1,本科,5,法学,39,法学类,331,1,理科,7,本科一批,江苏,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
经济学类,1,46,32,398,392,395,1,本科,4,经济学,35,经济学类,333,2,文科,7,本科一批,江苏,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
公共管理类,1,46,36,646,645,--,1,本科,13,管理学,115,公共管理类,503,1,理科,7,本科一批,江西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学（中外合作办学）,1,46,36,618,606,--,1,本科,4,经济学,37,金融学类,533,2,文科,7,本科一批,江西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
国民经济管理（中外合作办学）,1,46,22,595,592,--,1,本科,4,经济学,35,经济学类,528,2,文科,7,本科一批,吉林,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
社会学类（国家专项）,1,46,34,613,613,--,1,本科,5,法学,41,社会学类,515,2,文科,7,本科一批,安徽,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
新闻传播学类,1,46,51,668,668,--,1,本科,7,文学,49,新闻传播学类,511,1,理科,7,本科一批,四川,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
德语,1,46,37,634,634,--,1,本科,7,文学,48,外国语言文学类,483,2,文科,14,本科批,山东,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
国际政治,1,46,41,647,645,646,1,本科,5,法学,40,政治学类,484,1,理科,7,本科一批,河南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
工商管理类,1,46,23,627,625,--,1,本科,13,管理学,113,工商管理类,481,2,文科,7,本科一批,黑龙江,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
财政学类,1,46,36,638,638,--,1,本科,4,经济学,36,财政学类,533,2,文科,7,本科一批,江西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（物理、化学与心理学）,1,46,34,644,642,--,1,本科,0,--,0,--,487,1,理科,7,本科一批,安徽,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
新闻传播学类（国家专项）,1,46,14,583,583,--,1,本科,7,文学,49,新闻传播学类,481,1,理科,7,本科一批,山西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（信息与数学）,1,46,65,647,646,--,1,本科,0,--,0,--,437,1,理科,7,本科一批,新疆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
新闻传播学类,1,46,42,646,641,645,1,本科,7,文学,49,新闻传播学类,528,2,文科,7,本科一批,湖北,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学类,1,46,65,630,630,--,1,本科,4,经济学,37,金融学类,486,2,文科,7,本科一批,新疆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法学,1,46,12,669,668,--,1,本科,5,法学,39,法学类,521,1,理科,7,本科一批,天津,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
新闻传播学类（国家专项）,1,46,34,619,619,--,1,本科,7,文学,49,新闻传播学类,515,2,文科,7,本科一批,安徽,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
工商管理类,1,46,12,677,677,--,1,本科,13,管理学,113,工商管理类,521,1,理科,7,本科一批,天津,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人力资源管理,1,46,11,657,649,653,1,本科,13,管理学,113,工商管理类,555,2,文科,7,本科一批,北京,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法学,1,46,51,670,656,--,1,本科,5,法学,39,法学类,511,1,理科,7,本科一批,四川,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
统计学类（国家专项）,1,46,42,628,628,--,1,本科,9,理学,62,统计学类,484,1,理科,7,本科一批,湖北,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法语,1,46,44,622,621,--,1,本科,7,文学,48,外国语言文学类,520,2,文科,7,本科一批,广东,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人力资源管理,1,46,43,654,651,--,1,本科,13,管理学,113,工商管理类,505,1,理科,7,本科一批,湖南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人文科学试验班（国家专项）,1,46,50,630,630,--,1,本科,0,--,0,--,525,2,文科,7,本科一批,重庆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
信息资源管理,1,46,54,475,475,--,1,本科,13,管理学,116,图书情报与档案管理类,426,1,理科,7,本科一批,西藏,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
国民经济管理（中外合作办学）,1,46,50,640,640,--,1,本科,4,经济学,35,经济学类,492,1,理科,7,本科一批,重庆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
国际政治,1,46,44,627,625,626,1,本科,5,法学,40,政治学类,520,2,文科,7,本科一批,广东,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人力资源管理,1,46,15,608,598,603,1,本科,13,管理学,113,工商管理类,472,2,文科,7,本科一批,内蒙古,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
国际政治,1,46,51,659,657,--,1,本科,5,法学,40,政治学类,511,1,理科,7,本科一批,四川,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学类,1,46,12,680,678,--,1,本科,4,经济学,37,金融学类,521,1,理科,7,本科一批,天津,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
俄语,1,46,21,660,657,--,1,本科,7,文学,48,外国语言文学类,480,1,理科,7,本科一批,辽宁,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
公共管理类,1,46,34,634,633,--,1,本科,13,管理学,115,公共管理类,515,2,文科,7,本科一批,安徽,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（环境理工、环境经管）,1,46,42,653,649,--,1,本科,0,--,0,--,484,1,理科,7,本科一批,湖北,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
日语,1,46,11,660,660,--,1,本科,7,文学,48,外国语言文学类,555,2,文科,7,本科一批,北京,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
金融学类,1,46,43,662,654,--,1,本科,4,经济学,37,金融学类,548,2,文科,7,本科一批,湖南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（环境理工、环境经管）,1,46,45,630,630,--,1,本科,0,--,0,--,473,1,理科,7,本科一批,广西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
政治学、经济学与哲学（PPE实验班）,1,46,23,665,665,--,1,本科,5,法学,40,政治学类,455,1,理科,7,本科一批,黑龙江,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
新闻传播学类,1,46,43,659,656,658,1,本科,7,文学,49,新闻传播学类,548,2,文科,7,本科一批,湖南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（物理、化学与心理学，国家专项）,1,46,41,640,640,--,1,本科,0,--,0,--,484,1,理科,7,本科一批,河南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
财政学类,1,46,41,654,649,653,1,本科,4,经济学,36,财政学类,484,1,理科,7,本科一批,河南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法学（国家专项）,1,46,51,616,616,--,1,本科,5,法学,39,法学类,537,2,文科,7,本科一批,四川,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
国际政治（国家专项）,1,46,61,659,643,--,1,本科,5,法学,40,政治学类,449,1,理科,7,本科一批,陕西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
社会学类,1,46,23,623,622,--,1,本科,5,法学,41,社会学类,481,2,文科,7,本科一批,黑龙江,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
信息资源管理,1,46,52,650,650,--,1,本科,13,管理学,116,图书情报与档案管理类,545,2,文科,7,本科一批,贵州,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
信息资源管理,1,46,15,601,600,--,1,本科,13,管理学,116,图书情报与档案管理类,472,2,文科,7,本科一批,内蒙古,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
法学,1,46,34,653,641,649,1,本科,5,法学,39,法学类,487,1,理科,7,本科一批,安徽,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
财政学类,1,46,13,680,678,679,1,本科,4,经济学,36,财政学类,485,1,理科,7,本科一批,河北,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
社会学类（国家专项）,1,46,50,652,652,--,1,本科,5,法学,41,社会学类,492,1,理科,7,本科一批,重庆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（信息与数学）,1,46,43,666,654,--,1,本科,0,--,0,--,505,1,理科,7,本科一批,湖南,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
日语,1,46,23,648,648,--,1,本科,7,文学,48,外国语言文学类,455,1,理科,7,本科一批,黑龙江,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人力资源管理,1,46,45,636,632,--,1,本科,13,管理学,113,工商管理类,473,1,理科,7,本科一批,广西,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（物理、化学与心理学，国家专项）,1,46,50,612,612,--,1,本科,0,--,0,--,492,1,理科,7,本科一批,重庆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
新闻传播学类,1,46,44,634,634,--,1,本科,7,文学,49,新闻传播学类,485,1,理科,7,本科一批,广东,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
理科试验班（信息与数学，国家专项）,1,46,51,648,641,--,1,本科,0,--,0,--,511,1,理科,7,本科一批,四川,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人文科学试验班,1,46,44,630,624,627,1,本科,0,--,0,--,520,2,文科,7,本科一批,广东,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
工商管理类,1,46,65,624,612,614,1,本科,13,管理学,113,工商管理类,486,2,文科,7,本科一批,新疆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
社会学类,1,46,50,635,635,--,1,本科,5,法学,41,社会学类,525,2,文科,7,本科一批,重庆,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
人力资源管理,1,46,42,640,639,--,1,本科,13,管理学,113,工商管理类,528,2,文科,7,本科一批,湖北,11,1101,中国人民大学,0,2017,双一流,1,1,2,6000,1,1,5000,2,1000200,110108
